ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName,ChildGOTermID,GOTermName
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0031326,regulation of cellular biosynthetic process,GO:0009889,regulation of biosynthetic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0031326,regulation of cellular biosynthetic process,GO:0031323,regulation of cellular metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0031326,regulation of cellular biosynthetic process,GO:0031323,regulation of cellular metabolic process,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0051252,regulation of RNA metabolic process,GO:0019219,regulation of nucleobase-containing compound metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0051252,regulation of RNA metabolic process,GO:0019219,regulation of nucleobase-containing compound metabolic process,GO:0031323,regulation of cellular metabolic process,GO:0050794,regulation of cellular process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0051252,regulation of RNA metabolic process,GO:0019219,regulation of nucleobase-containing compound metabolic process,GO:0051171,regulation of nitrogen compound metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0051252,regulation of RNA metabolic process,GO:0019219,regulation of nucleobase-containing compound metabolic process,GO:0080090,regulation of primary metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:1903506,regulation of nucleic acid-templated transcription,GO:2001141,regulation of RNA biosynthetic process,GO:0051252,regulation of RNA metabolic process,GO:0060255,regulation of macromolecule metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:2000112,regulation of cellular macromolecule biosynthetic process,GO:0010556,regulation of macromolecule biosynthetic process,GO:0009889,regulation of biosynthetic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006355,"regulation of transcription, DNA-templated",GO:2000112,regulation of cellular macromolecule biosynthetic process,GO:0010556,regulation of macromolecule biosynthetic process,GO:0060255,regulation of macromolecule metabolic process,GO:0019222,regulation of metabolic process,GO:0050789,regulation of biological process,GO:0065007,biological regulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
