UniprotID,No. Partners
ADCY5_HUMAN,11
ADCY6_HUMAN,2
ADCY7_HUMAN,3
ADCY8_HUMAN,1
ADCY9_HUMAN,0
ADCYA_HUMAN,0
ADDA_HUMAN,26
ADDB_HUMAN,7
ADDG_HUMAN,0
ADEC1_HUMAN,0
ADGB_HUMAN,0
ADH1A_HUMAN,4
ADH1B_HUMAN,5
ADH1G_HUMAN,2
ADH4_HUMAN,2
ADH6_HUMAN,8
ADH7_HUMAN,6
ADHX_HUMAN,11
ADIG_HUMAN,0
ADIP_HUMAN,129
ADIPL_HUMAN,0
ADIPO_HUMAN,17
ADIRF_HUMAN,1
ADK_HUMAN,7
ADM2_HUMAN,0
ADM5_HUMAN,0
ADML_HUMAN,1
ADNP_HUMAN,10
ADNP2_HUMAN,1
ADPGK_HUMAN,15
ADPPT_HUMAN,11
ADPRH_HUMAN,5
ADPRM_HUMAN,4
ADPRS_HUMAN,4
ADRB1_HUMAN,7
ADRB2_HUMAN,241
ADRB3_HUMAN,1
ADRM1_HUMAN,43
ADRO_HUMAN,8
ADSV_HUMAN,1
ADT1_HUMAN,26
ADT2_HUMAN,54
ADT3_HUMAN,35
ADT4_HUMAN,1
ADTRP_HUMAN,2
ADX_HUMAN,17
AEBP1_HUMAN,0
AEBP2_HUMAN,26
AEDO_HUMAN,0
AEGP_HUMAN,0
AEN_HUMAN,21
AF10_HUMAN,14
AF17_HUMAN,38
AF1L1_HUMAN,0
AF1L2_HUMAN,3
AF1Q_HUMAN,1
AF9_HUMAN,32
AFAD_HUMAN,38
AFAM_HUMAN,4
AFAP1_HUMAN,7
AFDDT_HUMAN,0
AFF1_HUMAN,34
AFF2_HUMAN,0
AFF3_HUMAN,0
AFF4_HUMAN,15
AFG1L_HUMAN,8
AFG2H_HUMAN,10
AFG32_HUMAN,17
AFTIN_HUMAN,1
AG10A_HUMAN,1
AG10B_HUMAN,4
AG1L2_HUMAN,0
AGA11_HUMAN,0
AGAL_HUMAN,4
AGAP1_HUMAN,34
