Threshold, n_features, performance_score
Thresh=0.0071, n=20, F1 score: 0.139
Thresh=0.0071, n=20, AUROC score: 0.791
Thresh=0.0072, n=18, Accuracy: 0.865
Thresh=0.0072, n=18, Precision: 0.079
Thresh=0.0072, n=18, Recall: 0.719
Thresh=0.0072, n=18, F1 score: 0.143
Thresh=0.0072, n=18, AUROC score: 0.793
Thresh=0.0076, n=16, Accuracy: 0.862
Thresh=0.0076, n=16, Precision: 0.078
Thresh=0.0076, n=16, Recall: 0.719
Thresh=0.0076, n=16, F1 score: 0.141
Thresh=0.0076, n=16, AUROC score: 0.792
Thresh=0.0081, n=16, Accuracy: 0.862
Thresh=0.0081, n=16, Precision: 0.078
Thresh=0.0081, n=16, Recall: 0.719
Thresh=0.0081, n=16, F1 score: 0.141
Thresh=0.0081, n=16, AUROC score: 0.792
Thresh=0.0086, n=14, Accuracy: 0.872
Thresh=0.0086, n=14, Precision: 0.084
Thresh=0.0086, n=14, Recall: 0.719
Thresh=0.0086, n=14, F1 score: 0.150
Thresh=0.0086, n=14, AUROC score: 0.797
Thresh=0.0092, n=13, Accuracy: 0.902
Thresh=0.0092, n=13, Precision: 0.096
Thresh=0.0092, n=13, Recall: 0.625
Thresh=0.0092, n=13, F1 score: 0.167
Thresh=0.0092, n=13, AUROC score: 0.766
Thresh=0.0096, n=10, Accuracy: 0.902
Thresh=0.0096, n=10, Precision: 0.088
Thresh=0.0096, n=10, Recall: 0.562
Thresh=0.0096, n=10, F1 score: 0.153
Thresh=0.0096, n=10, AUROC score: 0.735
Thresh=0.0099, n=9, Accuracy: 0.907
Thresh=0.0099, n=9, Precision: 0.093
Thresh=0.0099, n=9, Recall: 0.562
Thresh=0.0099, n=9, F1 score: 0.159
Thresh=0.0099, n=9, AUROC score: 0.737
Thresh=0.0100, n=9, Accuracy: 0.907
Thresh=0.0100, n=9, Precision: 0.093
Thresh=0.0100, n=9, Recall: 0.562
Thresh=0.0100, n=9, F1 score: 0.159
Thresh=0.0100, n=9, AUROC score: 0.737
Thresh=0.0102, n=6, Accuracy: 0.956
Thresh=0.0102, n=6, Precision: 0.118
Thresh=0.0102, n=6, Recall: 0.281
Thresh=0.0102, n=6, F1 score: 0.167
Thresh=0.0102, n=6, AUROC score: 0.624
Thresh=0.0103, n=5, Accuracy: 0.958
Thresh=0.0103, n=5, Precision: 0.125
Thresh=0.0103, n=5, Recall: 0.281
Thresh=0.0103, n=5, F1 score: 0.173
Thresh=0.0103, n=5, AUROC score: 0.625
Thresh=0.0107, n=5, Accuracy: 0.958
Thresh=0.0107, n=5, Precision: 0.125
Thresh=0.0107, n=5, Recall: 0.281
Thresh=0.0107, n=5, F1 score: 0.173
Thresh=0.0107, n=5, AUROC score: 0.625
Thresh=0.0112, n=3, Accuracy: 0.967
Thresh=0.0112, n=3, Precision: 0.143
Thresh=0.0112, n=3, Recall: 0.219
Thresh=0.0112, n=3, F1 score: 0.173
Thresh=0.0112, n=3, AUROC score: 0.599
Thresh=0.0116, n=2, Accuracy: 0.980
Thresh=0.0116, n=2, Precision: 0.263
Thresh=0.0116, n=2, Recall: 0.156
Thresh=0.0116, n=2, F1 score: 0.196
Thresh=0.0116, n=2, AUROC score: 0.575
Thresh=0.0000, n=2086, Accuracy: 0.854
Thresh=0.0000, n=2086, Precision: 0.074
Thresh=0.0000, n=2086, Recall: 0.719
Thresh=0.0000, n=2086, F1 score: 0.134
Thresh=0.0000, n=2086, AUROC score: 0.787
Thresh=0.0001, n=514, Accuracy: 0.866
Thresh=0.0001, n=514, Precision: 0.089
Thresh=0.0001, n=514, Recall: 0.812
Thresh=0.0001, n=514, F1 score: 0.160
Thresh=0.0001, n=514, AUROC score: 0.840
Thresh=0.0002, n=506, Accuracy: 0.866
Thresh=0.0002, n=506, Precision: 0.089
Thresh=0.0002, n=506, Recall: 0.812
Thresh=0.0002, n=506, F1 score: 0.160
Thresh=0.0002, n=506, AUROC score: 0.840
Thresh=0.0003, n=500, Accuracy: 0.866
Thresh=0.0003, n=500, Precision: 0.083
Thresh=0.0003, n=500, Recall: 0.750
Thresh=0.0003, n=500, F1 score: 0.150
Thresh=0.0003, n=500, AUROC score: 0.809
Thresh=0.0004, n=480, Accuracy: 0.871
Thresh=0.0004, n=480, Precision: 0.092
Thresh=0.0004, n=480, Recall: 0.812
Thresh=0.0004, n=480, F1 score: 0.166
Thresh=0.0004, n=480, AUROC score: 0.842
Thresh=0.0005, n=462, Accuracy: 0.869
Thresh=0.0005, n=462, Precision: 0.091
Thresh=0.0005, n=462, Recall: 0.812
Thresh=0.0005, n=462, F1 score: 0.163
Thresh=0.0005, n=462, AUROC score: 0.841
Thresh=0.0006, n=442, Accuracy: 0.865
Thresh=0.0006, n=442, Precision: 0.088
Thresh=0.0006, n=442, Recall: 0.812
Thresh=0.0006, n=442, F1 score: 0.160
Thresh=0.0006, n=442, AUROC score: 0.839
Thresh=0.0007, n=413, Accuracy: 0.874
Thresh=0.0007, n=413, Precision: 0.094
Thresh=0.0007, n=413, Recall: 0.812
Thresh=0.0007, n=413, F1 score: 0.168
Thresh=0.0007, n=413, AUROC score: 0.844
Thresh=0.0008, n=376, Accuracy: 0.870
Thresh=0.0008, n=376, Precision: 0.089
Thresh=0.0008, n=376, Recall: 0.781
Thresh=0.0008, n=376, F1 score: 0.159
Thresh=0.0008, n=376, AUROC score: 0.827
Thresh=0.0009, n=355, Accuracy: 0.872
Thresh=0.0009, n=355, Precision: 0.090
Thresh=0.0009, n=355, Recall: 0.781
Thresh=0.0009, n=355, F1 score: 0.161
Thresh=0.0009, n=355, AUROC score: 0.828
Thresh=0.0010, n=332, Accuracy: 0.875
Thresh=0.0010, n=332, Precision: 0.095
Thresh=0.0010, n=332, Recall: 0.812
Thresh=0.0010, n=332, F1 score: 0.170
Thresh=0.0010, n=332, AUROC score: 0.844
Thresh=0.0011, n=302, Accuracy: 0.874
Thresh=0.0011, n=302, Precision: 0.094
Thresh=0.0011, n=302, Recall: 0.812
Thresh=0.0011, n=302, F1 score: 0.168
Thresh=0.0011, n=302, AUROC score: 0.844
Thresh=0.0012, n=277, Accuracy: 0.879
Thresh=0.0012, n=277, Precision: 0.097
Thresh=0.0012, n=277, Recall: 0.812
Thresh=0.0012, n=277, F1 score: 0.174
Thresh=0.0012, n=277, AUROC score: 0.846
Thresh=0.0013, n=259, Accuracy: 0.877
Thresh=0.0013, n=259, Precision: 0.093
Thresh=0.0013, n=259, Recall: 0.781
Thresh=0.0013, n=259, F1 score: 0.167
Thresh=0.0013, n=259, AUROC score: 0.830
Thresh=0.0014, n=244, Accuracy: 0.880
Thresh=0.0014, n=244, Precision: 0.098
Thresh=0.0014, n=244, Recall: 0.812
Thresh=0.0014, n=244, F1 score: 0.176
Thresh=0.0014, n=244, AUROC score: 0.847
Thresh=0.0015, n=236, Accuracy: 0.872
Thresh=0.0015, n=236, Precision: 0.090
Thresh=0.0015, n=236, Recall: 0.781
Thresh=0.0015, n=236, F1 score: 0.161
Thresh=0.0015, n=236, AUROC score: 0.827
Thresh=0.0016, n=219, Accuracy: 0.872
Thresh=0.0016, n=219, Precision: 0.090
Thresh=0.0016, n=219, Recall: 0.781
Thresh=0.0016, n=219, F1 score: 0.161
Thresh=0.0016, n=219, AUROC score: 0.827
Thresh=0.0017, n=203, Accuracy: 0.869
Thresh=0.0017, n=203, Precision: 0.088
Thresh=0.0017, n=203, Recall: 0.781
Thresh=0.0017, n=203, F1 score: 0.158
Thresh=0.0017, n=203, AUROC score: 0.826
Thresh=0.0018, n=199, Accuracy: 0.873
Thresh=0.0018, n=199, Precision: 0.090
Thresh=0.0018, n=199, Recall: 0.781
Thresh=0.0018, n=199, F1 score: 0.162
Thresh=0.0018, n=199, AUROC score: 0.828
Thresh=0.0019, n=191, Accuracy: 0.866
Thresh=0.0019, n=191, Precision: 0.086
Thresh=0.0019, n=191, Recall: 0.781
Thresh=0.0019, n=191, F1 score: 0.155
Thresh=0.0019, n=191, AUROC score: 0.824
Thresh=0.0020, n=180, Accuracy: 0.860
Thresh=0.0020, n=180, Precision: 0.083
Thresh=0.0020, n=180, Recall: 0.781
Thresh=0.0020, n=180, F1 score: 0.149
Thresh=0.0020, n=180, AUROC score: 0.821
Thresh=0.0021, n=173, Accuracy: 0.855
Thresh=0.0021, n=173, Precision: 0.077
Thresh=0.0021, n=173, Recall: 0.750
Thresh=0.0021, n=173, F1 score: 0.140
Thresh=0.0021, n=173, AUROC score: 0.803
Thresh=0.0022, n=164, Accuracy: 0.854
Thresh=0.0022, n=164, Precision: 0.077
Thresh=0.0022, n=164, Recall: 0.750
Thresh=0.0022, n=164, F1 score: 0.139
Thresh=0.0022, n=164, AUROC score: 0.803
Thresh=0.0023, n=152, Accuracy: 0.834
Thresh=0.0023, n=152, Precision: 0.070
Thresh=0.0023, n=152, Recall: 0.781
Thresh=0.0023, n=152, F1 score: 0.129
Thresh=0.0023, n=152, AUROC score: 0.808
Thresh=0.0024, n=140, Accuracy: 0.865
Thresh=0.0024, n=140, Precision: 0.085
Thresh=0.0024, n=140, Recall: 0.781
Thresh=0.0024, n=140, F1 score: 0.154
Thresh=0.0024, n=140, AUROC score: 0.824
Thresh=0.0025, n=135, Accuracy: 0.858
Thresh=0.0025, n=135, Precision: 0.081
Thresh=0.0025, n=135, Recall: 0.781
Thresh=0.0025, n=135, F1 score: 0.147
Thresh=0.0025, n=135, AUROC score: 0.820
Thresh=0.0026, n=123, Accuracy: 0.857
Thresh=0.0026, n=123, Precision: 0.081
Thresh=0.0026, n=123, Recall: 0.781
Thresh=0.0026, n=123, F1 score: 0.146
Thresh=0.0026, n=123, AUROC score: 0.820
Thresh=0.0027, n=117, Accuracy: 0.856
Thresh=0.0027, n=117, Precision: 0.080
Thresh=0.0027, n=117, Recall: 0.781
Thresh=0.0027, n=117, F1 score: 0.146
Thresh=0.0027, n=117, AUROC score: 0.819
Thresh=0.0028, n=113, Accuracy: 0.851
Thresh=0.0028, n=113, Precision: 0.078
Thresh=0.0028, n=113, Recall: 0.781
Thresh=0.0028, n=113, F1 score: 0.142
Thresh=0.0028, n=113, AUROC score: 0.817
Thresh=0.0029, n=101, Accuracy: 0.848
Thresh=0.0029, n=101, Precision: 0.076
Thresh=0.0029, n=101, Recall: 0.781
Thresh=0.0029, n=101, F1 score: 0.139
Thresh=0.0029, n=101, AUROC score: 0.815
Thresh=0.0030, n=96, Accuracy: 0.857
Thresh=0.0030, n=96, Precision: 0.081
Thresh=0.0030, n=96, Recall: 0.781
Thresh=0.0030, n=96, F1 score: 0.146
Thresh=0.0030, n=96, AUROC score: 0.820
Thresh=0.0031, n=93, Accuracy: 0.847
Thresh=0.0031, n=93, Precision: 0.076
Thresh=0.0031, n=93, Recall: 0.781
Thresh=0.0031, n=93, F1 score: 0.139
Thresh=0.0031, n=93, AUROC score: 0.815
Thresh=0.0032, n=83, Accuracy: 0.833
Thresh=0.0032, n=83, Precision: 0.070
Thresh=0.0032, n=83, Recall: 0.781
Thresh=0.0032, n=83, F1 score: 0.129
Thresh=0.0032, n=83, AUROC score: 0.808
Thresh=0.0033, n=81, Accuracy: 0.846
Thresh=0.0033, n=81, Precision: 0.070
Thresh=0.0033, n=81, Recall: 0.719
Thresh=0.0033, n=81, F1 score: 0.128
Thresh=0.0033, n=81, AUROC score: 0.783
Thresh=0.0034, n=75, Accuracy: 0.856
Thresh=0.0034, n=75, Precision: 0.078
Thresh=0.0034, n=75, Recall: 0.750
Thresh=0.0034, n=75, F1 score: 0.141
Thresh=0.0034, n=75, AUROC score: 0.804
Thresh=0.0035, n=72, Accuracy: 0.854
Thresh=0.0035, n=72, Precision: 0.077
Thresh=0.0035, n=72, Recall: 0.750
Thresh=0.0035, n=72, F1 score: 0.139
Thresh=0.0035, n=72, AUROC score: 0.803
Thresh=0.0036, n=67, Accuracy: 0.861
Thresh=0.0036, n=67, Precision: 0.081
Thresh=0.0036, n=67, Recall: 0.750
Thresh=0.0036, n=67, F1 score: 0.145
Thresh=0.0036, n=67, AUROC score: 0.807
Thresh=0.0037, n=63, Accuracy: 0.849
Thresh=0.0037, n=63, Precision: 0.074
Thresh=0.0037, n=63, Recall: 0.750
Thresh=0.0037, n=63, F1 score: 0.135
Thresh=0.0037, n=63, AUROC score: 0.800
Thresh=0.0038, n=61, Accuracy: 0.850
Thresh=0.0038, n=61, Precision: 0.077
Thresh=0.0038, n=61, Recall: 0.781
Thresh=0.0038, n=61, F1 score: 0.140
Thresh=0.0038, n=61, AUROC score: 0.816
Thresh=0.0039, n=59, Accuracy: 0.846
Thresh=0.0039, n=59, Precision: 0.076
Thresh=0.0039, n=59, Recall: 0.781
Thresh=0.0039, n=59, F1 score: 0.138
Thresh=0.0039, n=59, AUROC score: 0.814
Thresh=0.0040, n=57, Accuracy: 0.843
Thresh=0.0040, n=57, Precision: 0.076
Thresh=0.0040, n=57, Recall: 0.812
Thresh=0.0040, n=57, F1 score: 0.140
Thresh=0.0040, n=57, AUROC score: 0.828
Thresh=0.0041, n=52, Accuracy: 0.826
Thresh=0.0041, n=52, Precision: 0.070
Thresh=0.0041, n=52, Recall: 0.812
Thresh=0.0041, n=52, F1 score: 0.128
Thresh=0.0041, n=52, AUROC score: 0.819
Thresh=0.0042, n=49, Accuracy: 0.847
Thresh=0.0042, n=49, Precision: 0.076
Thresh=0.0042, n=49, Recall: 0.781
Thresh=0.0042, n=49, F1 score: 0.138
Thresh=0.0042, n=49, AUROC score: 0.815
Thresh=0.0043, n=47, Accuracy: 0.855
Thresh=0.0043, n=47, Precision: 0.080
Thresh=0.0043, n=47, Recall: 0.781
Thresh=0.0043, n=47, F1 score: 0.145
Thresh=0.0043, n=47, AUROC score: 0.819
Thresh=0.0044, n=44, Accuracy: 0.855
Thresh=0.0044, n=44, Precision: 0.080
Thresh=0.0044, n=44, Recall: 0.781
Thresh=0.0044, n=44, F1 score: 0.145
